[11:32:19] [Logger] Open
[11:32:19] [SkinManager] Loading from "C:\Program Files (x86)\Visual Productions\CueluxPro10447\skin"
[11:32:19] [SkinManager] 3 glyph pages loaded:
[11:32:19] [SkinManager] Page "skin" loaded 50 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\skin
[11:32:19] [SkinManager] Page "cueluxpro" loaded 1 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\skin\cueluxpro
[11:32:19] [SkinManager] Page "emulationpro" loaded 1 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\skin\emulationpro
[11:32:19] [GlyphManager] Loading from "C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs"
[11:32:19] [GlyphManager] 15 glyph pages loaded:
[11:32:19] [GlyphManager] Page "attribute" loaded 90 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\attribute
[11:32:19] [GlyphManager] Page "class" loaded 20 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\class
[11:32:19] [GlyphManager] Page "device" loaded 78 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\device
[11:32:19] [GlyphManager] Page "display" loaded 55 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\display
[11:32:19] [GlyphManager] Page "gobo" loaded 0 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\gobo
[11:32:19] [GlyphManager] Page "language" loaded 23 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\language
[11:32:19] [GlyphManager] Page "mapping" loaded 14 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\mapping
[11:32:19] [GlyphManager] Page "order" loaded 5 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\order
[11:32:19] [GlyphManager] Page "part" loaded 24 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\part
[11:32:19] [GlyphManager] Page "pattern" loaded 75 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\pattern
[11:32:19] [GlyphManager] Page "prism" loaded 7 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\prism
[11:32:19] [GlyphManager] Page "range" loaded 71 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\range
[11:32:19] [GlyphManager] Page "shape" loaded 13 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\shape
[11:32:19] [GlyphManager] Page "source" loaded 22 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\source
[11:32:19] [GlyphManager] Page "touchscreentype" loaded 17 images from C:\Program Files (x86)\Visual Productions\CueluxPro10447\glyphs\touchscreentype
[11:32:19] [App] Platform: Windows
[11:32:19] [App] Number of logical CPU cores: 4
[11:32:19] [App] Display #0 (1920x1080) offers mode #0 (1920x1080).
[11:32:19] [App] Display #0 (1920x1080) offers mode #1 (1920x1080).
[11:32:19] [App] Display #0 (1920x1080) offers mode #2 (1920x1080).
[11:32:19] [App] Display #0 (1920x1080) offers mode #3 (1920x1080).
[11:32:19] [App] Display #0 (1920x1080) offers mode #4 (1920x1080).
[11:32:19] [App] Display #0 (1920x1080) offers mode #5 (1920x1080).
[11:32:19] [App] Display #0 (1920x1080) offers mode #6 (1920x1080).
[11:32:19] [App] Display #0 (1920x1080) offers mode #7 (1920x1080).
[11:32:19] [App] Display #0 (1920x1080) offers mode #8 (1768x992).
[11:32:19] [App] Display #0 (1920x1080) offers mode #9 (1768x992).
[11:32:19] [App] Display #0 (1920x1080) offers mode #10 (1768x992).
[11:32:19] [App] Display #0 (1920x1080) offers mode #11 (1768x992).
[11:32:19] [App] Display #0 (1920x1080) offers mode #12 (1768x992).
[11:32:19] [App] Display #0 (1920x1080) offers mode #13 (1768x992).
[11:32:19] [App] Display #0 (1920x1080) offers mode #14 (1768x992).
[11:32:19] [App] Display #0 (1920x1080) offers mode #15 (1768x992).
[11:32:19] [App] Display #0 (1920x1080) offers mode #16 (1680x1050).
[11:32:19] [App] Display #0 (1920x1080) offers mode #17 (1680x1050).
[11:32:19] [App] Display #0 (1920x1080) offers mode #18 (1680x1050).
[11:32:19] [App] Display #0 (1920x1080) offers mode #19 (1680x1050).
[11:32:19] [App] Display #0 (1920x1080) offers mode #20 (1600x1024).
[11:32:19] [App] Display #0 (1920x1080) offers mode #21 (1600x1024).
[11:32:19] [App] Display #0 (1920x1080) offers mode #22 (1600x1024).
[11:32:19] [App] Display #0 (1920x1080) offers mode #23 (1600x1024).
[11:32:19] [App] Display #0 (1920x1080) offers mode #24 (1600x900).
[11:32:19] [App] Display #0 (1920x1080) offers mode #25 (1600x900).
[11:32:19] [App] Display #0 (1920x1080) offers mode #26 (1600x900).
[11:32:19] [App] Display #0 (1920x1080) offers mode #27 (1600x900).
[11:32:19] [App] Display #0 (1920x1080) offers mode #28 (1440x900).
[11:32:19] [App] Display #0 (1920x1080) offers mode #29 (1440x900).
[11:32:19] [App] Display #0 (1920x1080) offers mode #30 (1366x768).
[11:32:19] [App] Display #0 (1920x1080) offers mode #31 (1366x768).
[11:32:19] [App] Display #0 (1920x1080) offers mode #32 (1360x768).
[11:32:19] [App] Display #0 (1920x1080) offers mode #33 (1360x768).
[11:32:19] [App] Display #0 (1920x1080) offers mode #34 (1280x1024).
[11:32:19] [App] Display #0 (1920x1080) offers mode #35 (1280x1024).
[11:32:19] [App] Display #0 (1920x1080) offers mode #36 (1280x1024).
[11:32:19] [App] Display #0 (1920x1080) offers mode #37 (1280x1024).
